source,target,type,timestamp,depth
wh1t3h4ts,premium,mention,2025-11-27T16:26:11.385435,0
wh1t3h4ts,premium,mention,2025-11-27T16:26:11.387335,0
wh1t3h4ts,premium,mention,2025-11-27T16:26:11.389403,0
wh1t3h4ts,premium,reply,2025-11-27T16:26:11.394963,0
premium,PremiumBusiness,mention,2025-11-27T16:26:39.172203,1
premium,PremiumBusiness,mention,2025-11-27T16:26:39.173832,1
premium,PremiumBusiness,mention,2025-11-27T16:26:39.175535,1
premium,PremiumBusiness,reply,2025-11-27T16:26:39.177537,1
premium,PremiumBusiness,reply,2025-11-27T16:26:39.185413,1
premium,XHandles,mention,2025-11-27T16:26:39.232995,1
premium,XHandles,mention,2025-11-27T16:26:39.234461,1
premium,XHandles,mention,2025-11-27T16:26:39.235814,1
premium,XHandles,reply,2025-11-27T16:26:39.237320,1
premium,XHandles,reply,2025-11-27T16:26:39.240882,1
PremiumBusiness,XHandles,mention,2025-11-27T16:27:27.362550,2
PremiumBusiness,XHandles,mention,2025-11-27T16:27:27.364333,2
PremiumBusiness,XHandles,mention,2025-11-27T16:27:27.366480,2
PremiumBusiness,XHandles,reply,2025-11-27T16:27:27.368796,2
PremiumBusiness,XHandles,reply,2025-11-27T16:27:27.370678,2
PremiumBusiness,MrBeast,mention,2025-11-27T16:27:32.305281,2
PremiumBusiness,chucky,reply,2025-11-27T16:27:32.307024,2
PremiumBusiness,chucky,reply,2025-11-27T16:27:32.308511,2
PremiumBusiness,XHandles,mention,2025-11-27T16:27:32.366838,2
PremiumBusiness,atriumlab,reply,2025-11-27T16:27:32.368779,2
XHandles,PhilipJohnston,mention,2025-11-27T16:28:16.546469,2
XHandles,PhilipJohnston,mention,2025-11-27T16:28:16.548193,2
XHandles,PhilipJohnston,mention,2025-11-27T16:28:16.549930,2
XHandles,PhilipJohnston,reply,2025-11-27T16:28:16.551542,2
XHandles,PhilipJohnston,mention,2025-11-27T16:28:16.554013,2
XHandles,PhilipJohnston,reply,2025-11-27T16:28:16.558905,2
XHandles,PhilipJohnston,reply,2025-11-27T16:28:16.560523,2
XHandles,PhilipJohnston,mention,2025-11-27T16:28:16.609939,2
XHandles,PhilipJohnston,mention,2025-11-27T16:28:16.611724,2
XHandles,PhilipJohnston,mention,2025-11-27T16:28:16.613333,2
